,track_id,total_distance_px,frames_tracked
0,0,1743.6290999999999,654
1,1,2270.6591999999982,749
2,2,784.5193999999997,273
3,3,13365.884000000002,868
4,4,771.2260000000001,166
5,5,2715.8941,732
6,6,2301.822000000001,294
7,7,1719.4362999999998,622
8,8,939.8328999999998,134
9,9,3940.842100000003,752
10,10,547.0349999999999,115
11,11,2106.1802,745
12,12,55.48609999999999,46
13,13,896.7477,217
14,14,447.2492999999999,30
15,15,1784.1574,185
16,16,3368.1403999999957,754
17,17,2149.4811,717
18,18,3151.0265000000036,707
19,19,16297.716899999996,894
20,20,498.04209999999983,135
21,21,21.011400000000002,9
22,22,18.936200000000003,17
23,23,130.06279999999998,52
24,24,352.5208,97
25,25,240.41869999999997,30
26,26,0.0,1
27,27,348.60020000000003,24
28,28,0.0,1
29,29,33.6139,6
30,30,757.2440000000003,221
31,31,1329.8863999999999,391
32,32,402.06989999999996,13
33,33,1765.8439999999996,577
34,34,867.1040999999998,352
35,35,1732.4335000000005,409
36,36,3777.679900000001,387
37,37,2138.5084999999995,176
38,38,0.3768,3
39,39,25.475699999999996,18
40,40,3.6567,7
41,41,0.5966,2
42,42,875.7896999999996,447
43,43,2074.145299999999,430
44,44,55.3333,11
45,45,14.2277,4
46,46,1412.2446999999995,404
47,47,4316.0245,303
48,48,64.7849,4
49,49,745.5630000000001,151
50,50,1159.085,46
51,51,86.9529,6
52,52,772.940599999999,294
53,53,20.4368,5
54,54,0.0,1
55,55,789.2293,342
56,56,6755.1386999999995,390
57,57,38.097,3
58,58,450.278,120
59,59,0.0,1
60,60,358.4640999999999,13
61,61,137.2233,8
62,62,138.7794,10
63,63,6.658899999999999,4
64,64,0.4765,2
65,65,71.80879999999999,28
66,66,6.2777,6
67,67,3.2322,2
68,68,0.0,1
69,69,0.0,1
70,70,240.67250000000007,133
71,71,230.6646000000001,108
72,72,403.5980999999998,132
73,73,82.9714,11
74,74,1531.8471000000002,98
75,75,0.0,1
76,76,0.8942,2
77,77,146.8509,55
78,78,12.5358,2
79,79,0.0,1
80,80,0.0,1
